#html:true
#separator:Pipe
#columns:Notetype|Deck|Tags|Front|Back
#notetype column:1
#deck column:2
#tags column:3
basic|JLPT_BASIC::N3::01|N3,N3_1_100|代表|<iframe src="https://jisho.org/search/代表#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|完全|<iframe src="https://jisho.org/search/完全#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|活動|<iframe src="https://jisho.org/search/活動#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|完成|<iframe src="https://jisho.org/search/完成#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|最高|<iframe src="https://jisho.org/search/最高#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|助手|<iframe src="https://jisho.org/search/助手#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|文字|<iframe src="https://jisho.org/search/文字#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|直接|<iframe src="https://jisho.org/search/直接#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|不可|<iframe src="https://jisho.org/search/不可#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|地方|<iframe src="https://jisho.org/search/地方#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|中古|<iframe src="https://jisho.org/search/中古#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|女子|<iframe src="https://jisho.org/search/女子#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|営業|<iframe src="https://jisho.org/search/営業#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|参考|<iframe src="https://jisho.org/search/参考#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|日本|<iframe src="https://jisho.org/search/日本#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|選択|<iframe src="https://jisho.org/search/選択#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|案内|<iframe src="https://jisho.org/search/案内#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|参加|<iframe src="https://jisho.org/search/参加#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|主要|<iframe src="https://jisho.org/search/主要#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|身体|<iframe src="https://jisho.org/search/身体#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|多少|<iframe src="https://jisho.org/search/多少#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|成功|<iframe src="https://jisho.org/search/成功#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|対象|<iframe src="https://jisho.org/search/対象#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|変更|<iframe src="https://jisho.org/search/変更#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|環境|<iframe src="https://jisho.org/search/環境#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|輸入|<iframe src="https://jisho.org/search/輸入#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|開始|<iframe src="https://jisho.org/search/開始#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|企業|<iframe src="https://jisho.org/search/企業#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|電子|<iframe src="https://jisho.org/search/電子#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|製品|<iframe src="https://jisho.org/search/製品#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|会員|<iframe src="https://jisho.org/search/会員#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|要求|<iframe src="https://jisho.org/search/要求#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|人生|<iframe src="https://jisho.org/search/人生#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|作業|<iframe src="https://jisho.org/search/作業#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|少女|<iframe src="https://jisho.org/search/少女#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|存在|<iframe src="https://jisho.org/search/存在#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|家具|<iframe src="https://jisho.org/search/家具#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|国家|<iframe src="https://jisho.org/search/国家#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|自動|<iframe src="https://jisho.org/search/自動#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|食品|<iframe src="https://jisho.org/search/食品#page_container" sandbox="allow-forms">
basic|JLPT_BASIC::N3::01|N3,N3_1_100|中央|<iframe src="https://jisho.org/search/中央#page_container" sandbox="allow-forms">
