保,6
修,6
個,6
停,6
備,6
像,6
再,6
刊,6
判,6
制,6
則,6
効,6
務,6
勢,6
厚,6
句,6
可,6
史,6
告,6
喜,6
営,6
因,6
団,6
囲,6
圧,6
在,6
均,6
型,6
基,6
堂,6
報,6
境,6
墓,6
増,6
士,6
夢,6
妻,6
婦,6
容,6
寄,6
導,6
居,6
属,6
布,6
師,6
常,6
幹,6
序,6
弁,6
張,6
往,6
得,6
復,6
志,6
応,6
快,6
性,6
情,6
態,6
慣,6
技,6
招,6
授,6
採,6
接,6
提,6
損,6
支,6
政,6
故,6
救,6
断,6
旧,6
易,6
暴,6
条,6
枝,6
査,6
格,6
桜,6
検,6
構,6
武,6
歴,6
殺,6
毒,6
比,6
永,6
河,6
液,6
混,6
減,6
測,6
準,6
演,6
潔,6
災,6
燃,6
版,6
犯,6
状,6
独,6
率,6
現,6
留,6
略,6
益,6
眼,6
破,6
確,6
示,6
祖,6
禁,6
移,6
程,6
税,6
築,6
粉,6
精,6
紀,6
素,6
経,6
統,6
絶,6
綿,6
総,6
編,6
績,6
織,6
罪,6
義,6
耕,6
職,6
肥,6
能,6
脈,6
興,6
舎,6
航,6
術,6
衛,6
製,6
複,6
規,6
解,6
設,6
許,6
証,6
評,6
講,6
謝,6
識,6
護,6
豊,6
象,6
財,6
貧,6
責,6
貯,6
貸,6
費,6
貿,6
資,6
賛,6
賞,6
質,6
輸,6
述,6
迷,6
逆,6
造,6
過,6
適,6
酸,6
鉱,6
銅,6
防,6
限,6
険,6
際,6
雑,6
非,6
領,6
額,6
飼,6
並,5
乱,5
乳,5
亡,5
仁,5
供,5
俳,5
俵,5
値,5
傷,5
優,5
党,5
冊,5
処,5
券,5
刻,5
割,5
創,5
劇,5
勤,5
危,5
卵,5
厳,5
収,5
后,5
否,5
吸,5
呼,5
善,5
困,5
垂,5
域,5
奏,5
奮,5
姿,5
存,5
孝,5
宅,5
宇,5
宗,5
宙,5
宝,5
宣,5
密,5
寸,5
専,5
射,5
将,5
尊,5
就,5
尺,5
届,5
展,5
層,5
己,5
巻,5
幕,5
干,5
幼,5
庁,5
座,5
延,5
律,5
従,5
忘,5
忠,5
恩,5
憲,5
我,5
批,5
承,5
担,5
拝,5
拡,5
捨,5
探,5
推,5
揮,5
操,5
敬,5
敵,5
映,5
晩,5
暖,5
暮,5
朗,5
机,5
枚,5
染,5
株,5
棒,5
模,5
権,5
樹,5
欲,5
段,5
沿,5
泉,5
洗,5
派,5
済,5
源,5
潮,5
激,5
灰,5
熟,5
片,5
班,5
異,5
疑,5
痛,5
皇,5
盛,5
盟,5
看,5
砂,5
磁,5
私,5
秘,5
穀,5
穴,5
窓,5
