六,ロク、む、む-つ、むっ-つ、[むい],1,4
共,キョウ、とも,1,1
兵,ヘイ、ヒョウ,2,0
具,グ,1,0
典,テン,1,0
兼,ケン、か-ねる,1,1
内,ナイ、[ダイ]、うち,2,1
円,エン、まる-い,1,1
冊,サツ、サク,2,0
再,サイ、[サ]、ふたた-び,2,1
冒,ボウ、おか-す,1,1
冗,ジョウ,1,0
写,シャ、うつ-す、うつ-る,1,2
冠,カン、かんむり,1,1
冥,メイ、ミョウ,2,0
冬,トウ、ふゆ,1,1
冶,ヤ,1,0
冷,レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます,1,7
凄,セイ,1,0
准,ジュン,1,0
凍,トウ、こお-る、こご-える,1,2
凝,ギョウ、こ-る、こ-らす,1,2
凡,ボン、[ハン],2,0
処,ショ,1,0
凶,キョウ,1,0
凸,トツ,1,0
凹,オウ,1,0
出,シュツ、[スイ]、で-る、だ-す,2,2
刀,トウ、かたな,1,1
刃,ジン、は,1,1
分,ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ,3,4
切,セツ、[サイ]、き-る、き-れる,2,2
刈,か-る,0,1
刊,カン,1,0
刑,ケイ,1,0
列,レツ,1,0
初,ショ、はじ-め、はじ-めて、はつ、うい、そ-める,1,5
判,ハン、バン,2,0
別,ベツ、わか-れる,1,1
利,リ、き-く,1,1
到,トウ,1,0
制,セイ,1,0
刷,サツ、す-る,1,1
券,ケン,1,0
刹,サツ、セツ,2,0
刺,シ、さ-す、さ-さる,1,2
刻,コク、きざ-む,1,1
則,ソク,1,0
削,サク、けず-る,1,1
前,ゼン、まえ,1,1
剖,ボウ,1,0
剛,ゴウ,1,0
剣,ケン、つるぎ,1,1
剤,ザイ,1,0
剥,ハク、は-がす、は-ぐ、は-がれる、は-げる,1,4
副,フク,1,0
剰,ジョウ,1,0
割,カツ、わ-る、わり、わ-れる、さ-く,1,4
創,ソウ、つく-る,1,1
劇,ゲキ,1,0
力,リョク、リキ、ちから,2,1
功,コウ、[ク],2,0
加,カ、くわ-える、くわ-わる,2,2
劣,レツ、おと-る,1,1
助,ジョ、たす-ける、たす-かる、すけ,1,3
努,ド、つと-める,1,1
励,レイ、はげ-む、はげ-ます,1,2
労,ロウ,1,0
効,コウ、き-く,1,1
劾,ガイ,1,0
勃,ボツ,1,0
勅,チョク,1,0
勇,ユウ、いさ-む,1,1
勉,ベン,1,0
動,ドウ、うご-く、うご-かす,1,2
勘,カン,1,0
務,ム、つと-める、つと-まる,1,2
勝,ショウ、か-つ、まさ-る,1,2
募,ボ、つの-る,1,1
勢,セイ、いきお-い,1,1
勤,キン、[ゴン]、つと-める、つと-まる,2,2
勧,カン、すす-める,1,1
勲,クン,1,0
勾,コウ,1,0
匂,にお-う,0,1
包,ホウ、つつ-む,1,1
化,カ、ケ、ば-ける、ば-かす,2,2
北,ホク、きた,1,1
匠,ショウ,1,0
匹,ヒツ、ひき,1,1
区,ク,1,0
医,イ,1,0
匿,トク,1,0
十,ジュウ、ジッ、とお、と,2,2
千,セン、ち,1,1
升,ショウ、ます,1,1
午,ゴ,1,0
半,ハン、なか-ば,1,1
卑,ヒ、いや-しい、いや-しむ、いや-しめる,1,3
卒,ソツ,1,0
卓,タク,1,0
協,キョウ,1,0
南,ナン、[ナ]、みなみ,2,1
単,タン,1,0
博,ハク、[バク],2,0
占,セン、し-める、うらな-う,1,2
印,イン、しるし,1,1
危,キ、あぶ-ない、あや-うい、あや-ぶむ,1,3
即,ソク,1,0
却,キャク,1,0
卵,ラン、たまご,1,1
卸,おろ-す、おろし,0,2
厄,ヤク,1,0
厘,リン,1,0
厚,コウ、あつ-い,1,1
原,ゲン、はら,1,1
厳,ゲン、[ゴン]、おごそ-か、きび-しい,2,2
去,キョ、コ、さ-る,2,1
参,サン、まい-る,1,1
又,また,0,1
及,キュウ、およ-ぶ、およ-び、およ-ぼす,1,3
友,ユウ、とも,1,1
双,ソウ、ふた,1,1
反,ハン、[ホン]、[タン]、そ-る、そ-らす,3,2
収,シュウ、おさ-める、おさ-まる,1,2
叔,シュク,1,0
取,シュ、と-る,1,1
受,ジュ、う-ける、う-かる,1,2
叙,ジョ,1,0
口,コウ、ク、くち,2,1
古,コ、ふる-い、ふる-す,1,2
句,ク,1,0
叫,キョウ、さけ-ぶ,1,1
召,ショウ、め-す,1,1
可,カ,1,0
台,ダイ、タイ,2,0
叱,シツ、しか-る,1,1
史,シ,1,0
右,ウ、ユウ、みぎ,2,1
号,ゴウ,1,0
司,シ,1,0
各,カク、おのおの,1,1
合,ゴウ、ガッ、[カッ]、あ-う、あ-わす、あ-わせる,3,3
吉,キチ、キツ,2,0
同,ドウ、おな-じ,1,1
名,メイ、ミョウ、な,2,1
后,コウ,1,0
吏,リ,1,0
吐,ト、は-く,1,1
向,コウ、む-く、む-ける、む-かう、む-こう,1,4
君,クン、きみ,1,1
吟,ギン,1,0
否,ヒ、いな,1,1
含,ガン、ふく-む、ふく-める,1,2
吸,キュウ、す-う,1,1
吹,スイ、ふ-く,1,1
呂,ロ,1,0
呈,テイ,1,0
呉,ゴ,1,0
告,コク、つ-げる,1,1
周,シュウ、まわ-り,1,1
呪,ジュ、のろ-う,1,1
味,ミ、あじ、あじ-わう,1,2
呼,コ、よ-ぶ,1,1
命,メイ、ミョウ、いのち,2,1
和,ワ、[オ]、やわ-らぐ、やわ-らげる、なご-む、なご-やか,2,4
咲,さ-く,0,1
咽,イン,1,0
哀,アイ、あわ-れ、あわ-れむ,1,2
品,ヒン、しな,1,1
員,イン,1,0
哲,テツ,1,0
哺,ホ,1,0
唄,[うた],0,1
唆,サ、そそのか-す,1,1
唇,シン、くちびる,1,1
唐,トウ、から,1,1
唯,ユイ、[イ],2,0
唱,ショウ、とな-える,1,1
唾,ダ、つば,1,1
商,ショウ、あきな-う,1,1
問,モン、と-う、と-い、[とん],1,3
啓,ケイ,1,0
善,ゼン、よ-い,1,1
喉,コウ、のど,1,1
喚,カン,1,0
喜,キ、よろこ-ぶ,1,1
喝,カツ,1,0
喩,ユ,1,0
喪,ソウ、も,1,1
喫,キツ,1,0
営,エイ、いとな-む,1,1
嗅,キュウ、か-ぐ,1,1
嗣,シ,1,0
嘆,タン、なげ-く、なげ-かわしい,1,2
嘱,ショク,1,0
嘲,チョウ、あざけ-る,1,1
器,キ、うつわ,1,1
噴,フン、ふ-く,1,1
嚇,カク,1,0
囚,シュウ,1,0
四,シ、よ、よ-つ、よっ-つ、よん,1,4
回,カイ、[エ]、まわ-る、まわ-す,2,2
因,イン、よ-る,1,1
団,ダン、[トン],2,0
困,コン、こま-る,1,1
囲,イ、かこ-む、かこ-う,1,2
図,ズ、ト、はか-る,2,1
固,コ、かた-める、かた-まる、かた-い,1,3
国,コク、くに,1,1
圏,ケン,1,0
園,エン、その,1,1
土,ド、ト、つち,2,1
圧,アツ,1,0
在,ザイ、あ-る,1,1
地,チ、ジ,2,0
坂,ハン、さか,1,1
均,キン,1,0
坊,ボウ、[ボッ],2,0
坑,コウ,1,0
坪,つぼ,0,1
垂,スイ、た-れる、た-らす,1,2
型,ケイ、かた,1,1
垣,かき,0,1
埋,マイ、う-める、う-まる、う-もれる,1,3
城,ジョウ、しろ,1,1
域,イキ,1,0
執,シツ、シュウ、と-る,2,1
培,バイ、つちか-う,1,1
基,キ、もと、もとい,1,2
埼,[さい],0,1
堀,ほり,0,1
堂,ドウ,1,0
堅,ケン、かた-い,1,1
堆,タイ,1,0
堕,ダ,1,0
堤,テイ、つつみ,1,1
堪,カン、た-える,1,1
報,ホウ、むく-いる,1,1
場,ジョウ、ば,1,1
塀,ヘイ,1,0
塁,ルイ,1,0
塊,カイ、かたまり,1,1
塑,ソ,1,0
塔,トウ,1,0
塗,ト、ぬ-る,1,1
塚,つか,0,1
塞,サイ、ソク、ふさ-ぐ、ふさ-がる,2,2
塩,エン、しお,1,1
填,テン,1,0
塾,ジュク,1,0
境,キョウ、[ケイ]、さかい,2,1
墓,ボ、はか,1,1
増,ゾウ、ま-す、ふ-える、ふ-やす,1,3
墜,ツイ,1,0
墨,ボク、すみ,1,1
墳,フン,1,0
墾,コン,1,0
壁,ヘキ、かべ,1,1
壇,ダン、[タン],2,0
壊,カイ、こわ-す、こわ-れる,1,2
壌,ジョウ,1,0
士,シ,1,0
