,﻿一,イチ、イツ、ひと、ひと-つ,2,2
7,共,キョウ、とも,1,1
7,兵,ヘイ、ヒョウ,2,0
8,具,グ,1,0
7,典,テン,1,0
4,兼,ケン、か-ねる,1,1
9,内,ナイ、[ダイ]、うち,2,1
10,円,エン、まる-い,1,1
5,冊,サツ、サク,2,0
6,再,サイ、[サ]、ふたた-び,2,1
4,冒,ボウ、おか-す,1,1
3,冗,ジョウ,1,0
8,写,シャ、うつ-す、うつ-る,1,2
3,冠,カン、かんむり,1,1
2,冥,メイ、ミョウ,2,0
9,冬,トウ、ふゆ,1,1
2,冶,ヤ,1,0
7,冷,レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます,1,7
2,凄,セイ,1,0
2.5,准,ジュン,1,0
3,凍,トウ、こお-る、こご-える,1,2
3,凝,ギョウ、こ-る、こ-らす,1,2
4,凡,ボン、[ハン],2,0
5,処,ショ,1,0
4,凶,キョウ,1,0
2.5,凸,トツ,1,0
2.5,凹,オウ,1,0
10,出,シュツ、[スイ]、で-る、だ-す,2,2
9,刀,トウ、かたな,1,1
2.5,刃,ジン、は,1,1
9,分,ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ,3,4
9,切,セツ、[サイ]、き-る、き-れる,2,2
4,刈,か-る,0,1
6,刊,カン,1,0
3,刑,ケイ,1,0
8,列,レツ,1,0
7,初,ショ、はじ-め、はじ-めて、はつ、うい、そ-める,1,5
6,判,ハン、バン,2,0
7,別,ベツ、わか-れる,1,1
7,利,リ、き-く,1,1
4,到,トウ,1,0
6,制,セイ,1,0
7,刷,サツ、す-る,1,1
5,券,ケン,1,0
2,刹,サツ、セツ,2,0
4,刺,シ、さ-す、さ-さる,1,2
5,刻,コク、きざ-む,1,1
6,則,ソク,1,0
3,削,サク、けず-る,1,1
9,前,ゼン、まえ,1,1
2.5,剖,ボウ,1,0
2.5,剛,ゴウ,1,0
4,剣,ケン、つるぎ,1,1
4,剤,ザイ,1,0
2,剥,ハク、は-がす、は-ぐ、は-がれる、は-げる,1,4
7,副,フク,1,0
2.5,剰,ジョウ,1,0
5,割,カツ、わ-る、わり、わ-れる、さ-く,1,4
5,創,ソウ、つく-る,1,1
5,劇,ゲキ,1,0
10,力,リョク、リキ、ちから,2,1
7,功,コウ、[ク],2,0
7,加,カ、くわ-える、くわ-わる,2,2
4,劣,レツ、おと-る,1,1
8,助,ジョ、たす-ける、たす-かる、すけ,1,3
7,努,ド、つと-める,1,1
3,励,レイ、はげ-む、はげ-ます,1,2
7,労,ロウ,1,0
6,効,コウ、き-く,1,1
2.5,劾,ガイ,1,0
2,勃,ボツ,1,0
2.5,勅,チョク,1,0
7,勇,ユウ、いさ-む,1,1
8,勉,ベン,1,0
8,動,ドウ、うご-く、うご-かす,1,2
3,勘,カン,1,0
6,務,ム、つと-める、つと-まる,1,2
8,勝,ショウ、か-つ、まさ-る,1,2
3,募,ボ、つの-る,1,1
6,勢,セイ、いきお-い,1,1
5,勤,キン、[ゴン]、つと-める、つと-まる,2,2
4,勧,カン、すす-める,1,1
2.5,勲,クン,1,0
2,勾,コウ,1,0
2,匂,にお-う,0,1
7,包,ホウ、つつ-む,1,1
8,化,カ、ケ、ば-ける、ば-かす,2,2
9,北,ホク、きた,1,1
3,匠,ショウ,1,0
4,匹,ヒツ、ひき,1,1
8,区,ク,1,0
8,医,イ,1,0
3,匿,トク,1,0
10,十,ジュウ、ジッ、とお、と,2,2
10,千,セン、ち,1,1
2.5,升,ショウ、ます,1,1
9,午,ゴ,1,0
9,半,ハン、なか-ば,1,1
3,卑,ヒ、いや-しい、いや-しむ、いや-しめる,1,3
7,卒,ソツ,1,0
3,卓,タク,1,0
7,協,キョウ,1,0
9,南,ナン、[ナ]、みなみ,2,1
7,単,タン,1,0
7,博,ハク、[バク],2,0
4,占,セン、し-める、うらな-う,1,2
7,印,イン、しるし,1,1
5,危,キ、あぶ-ない、あや-うい、あや-ぶむ,1,3
4,即,ソク,1,0
4,却,キャク,1,0
5,卵,ラン、たまご,1,1
3,卸,おろ-す、おろし,0,2
2.5,厄,ヤク,1,0
3,厘,リン,1,0
6,厚,コウ、あつ-い,1,1
9,原,ゲン、はら,1,1
5,厳,ゲン、[ゴン]、おごそ-か、きび-しい,2,2
8,去,キョ、コ、さ-る,2,1
7,参,サン、まい-る,1,1
3,又,また,0,1
4,及,キュウ、およ-ぶ、およ-び、およ-ぼす,1,3
9,友,ユウ、とも,1,1
3,双,ソウ、ふた,1,1
8,反,ハン、[ホン]、[タン]、そ-る、そ-らす,3,2
5,収,シュウ、おさ-める、おさ-まる,1,2
2.5,叔,シュク,1,0
8,取,シュ、と-る,1,1
8,受,ジュ、う-ける、う-かる,1,2
2.5,叙,ジョ,1,0
10,口,コウ、ク、くち,2,1
9,古,コ、ふる-い、ふる-す,1,2
6,句,ク,1,0
4,叫,キョウ、さけ-ぶ,1,1
4,召,ショウ、め-す,1,1
6,可,カ,1,0
9,台,ダイ、タイ,2,0
2,叱,シツ、しか-る,1,1
6,史,シ,1,0
10,右,ウ、ユウ、みぎ,2,1
8,号,ゴウ,1,0
7,司,シ,1,0
7,各,カク、おのおの,1,1
9,合,ゴウ、ガッ、[カッ]、あ-う、あ-わす、あ-わせる,3,3
3,吉,キチ、キツ,2,0
9,同,ドウ、おな-じ,1,1
10,名,メイ、ミョウ、な,2,1
5,后,コウ,1,0
3,吏,リ,1,0
4,吐,ト、は-く,1,1
8,向,コウ、む-く、む-ける、む-かう、む-こう,1,4
8,君,クン、きみ,1,1
2.5,吟,ギン,1,0
5,否,ヒ、いな,1,1
4,含,ガン、ふく-む、ふく-める,1,2
5,吸,キュウ、す-う,1,1
4,吹,スイ、ふ-く,1,1
2,呂,ロ,1,0
2.5,呈,テイ,1,0
2.5,呉,ゴ,1,0
6,告,コク、つ-げる,1,1
7,周,シュウ、まわ-り,1,1
2,呪,ジュ、のろ-う,1,1
8,味,ミ、あじ、あじ-わう,1,2
5,呼,コ、よ-ぶ,1,1
8,命,メイ、ミョウ、いのち,2,1
8,和,ワ、[オ]、やわ-らぐ、やわ-らげる、なご-む、なご-やか,2,4
4,咲,さ-く,0,1
2,咽,イン,1,0
3,哀,アイ、あわ-れ、あわ-れむ,1,2
8,品,ヒン、しな,1,1
8,員,イン,1,0
3,哲,テツ,1,0
2,哺,ホ,1,0
2,唄,[うた],0,1
2.5,唆,サ、そそのか-す,1,1
2.5,唇,シン、くちびる,1,1
4,唐,トウ、から,1,1
2.5,唯,ユイ、[イ],2,0
7,唱,ショウ、とな-える,1,1
2,唾,ダ、つば,1,1
8,商,ショウ、あきな-う,1,1
8,問,モン、と-う、と-い、[とん],1,3
3,啓,ケイ,1,0
5,善,ゼン、よ-い,1,1
2,喉,コウ、のど,1,1
3,喚,カン,1,0
6,喜,キ、よろこ-ぶ,1,1
2.5,喝,カツ,1,0
2,喩,ユ,1,0
2.5,喪,ソウ、も,1,1
3,喫,キツ,1,0
6,営,エイ、いとな-む,1,1
2,嗅,キュウ、か-ぐ,1,1
2.5,嗣,シ,1,0
4,嘆,タン、なげ-く、なげ-かわしい,1,2
3,嘱,ショク,1,0
2,嘲,チョウ、あざけ-る,1,1
7,器,キ、うつわ,1,1
4,噴,フン、ふ-く,1,1
2.5,嚇,カク,1,0
2.5,囚,シュウ,1,0
10,四,シ、よ、よ-つ、よっ-つ、よん,1,4
9,回,カイ、[エ]、まわ-る、まわ-す,2,2
6,因,イン、よ-る,1,1
6,団,ダン、[トン],2,0
5,困,コン、こま-る,1,1
6,囲,イ、かこ-む、かこ-う,1,2
9,図,ズ、ト、はか-る,2,1
7,固,コ、かた-める、かた-まる、かた-い,1,3
9,国,コク、くに,1,1
4,圏,ケン,1,0
9,園,エン、その,1,1
10,土,ド、ト、つち,2,1
6,圧,アツ,1,0
6,在,ザイ、あ-る,1,1
9,地,チ、ジ,2,0
8,坂,ハン、さか,1,1
6,均,キン,1,0
4,坊,ボウ、[ボッ],2,0
3,坑,コウ,1,0
2.5,坪,つぼ,0,1
5,垂,スイ、た-れる、た-らす,1,2
6,型,ケイ、かた,1,1
2.5,垣,かき,0,1
3,埋,マイ、う-める、う-まる、う-もれる,1,3
7,城,ジョウ、しろ,1,1
5,域,イキ,1,0
4,執,シツ、シュウ、と-る,2,1
2.5,培,バイ、つちか-う,1,1
6,基,キ、もと、もとい,1,2
7,埼,[さい],0,1
2.5,堀,ほり,0,1
6,堂,ドウ,1,0
4,堅,ケン、かた-い,1,1
2,堆,タイ,1,0
2.5,堕,ダ,1,0
4,堤,テイ、つつみ,1,1
2.5,堪,カン、た-える,1,1
6,報,ホウ、むく-いる,1,1
9,場,ジョウ、ば,1,1
2.5,塀,ヘイ,1,0
2.5,塁,ルイ,1,0
3,塊,カイ、かたまり,1,1
2.5,塑,ソ,1,0
4,塔,トウ,1,0
3,塗,ト、ぬ-る,1,1
2.5,塚,つか,0,1
2,塞,サイ、ソク、ふさ-ぐ、ふさ-がる,2,2
7,塩,エン、しお,1,1
2,填,テン,1,0
2.5,塾,ジュク,1,0
6,境,キョウ、[ケイ]、さかい,2,1
6,墓,ボ、はか,1,1
6,増,ゾウ、ま-す、ふ-える、ふ-やす,1,3
3,墜,ツイ,1,0
3,墨,ボク、すみ,1,1
3,墳,フン,1,0
3,墾,コン,1,0
4,壁,ヘキ、かべ,1,1
3,壇,ダン、[タン],2,0
4,壊,カイ、こわ-す、こわ-れる,1,2
2.5,壌,ジョウ,1,0
6,士,シ,1,0
2.5,壮,ソウ,1,0
9,声,セイ、[ショウ]、こえ、[こわ],2,2
4,壱,イチ,1,0
9,売,バイ、う-る、う-れる,1,2
7,変,ヘン、か-わる、か-える,1,2
9,夏,カ、[ゲ]、なつ,2,1
10,夕,セキ、ゆう,1,1
9,外,ガイ、ゲ、そと、ほか、はず-す、はず-れる,2,4
9,多,タ、おお-い,1,1
9,夜,ヤ、よ、よる,1,2
6,夢,ム、ゆめ,1,1
10,大,ダイ、タイ、おお、おお-きい、おお-いに,2,3
10,天,テン、あめ、[あま],1,2
9,太,タイ、タ、ふと-い、ふと-る,2,2
7,夫,フ、[フウ]、おっと,2,1
8,央,オウ,1,0
7,失,シツ、うしな-う,1,1
4,奇,キ,1,0
7,奈,ナ,1,0
3,奉,ホウ、[ブ]、たてまつ-る,2,1
5,奏,ソウ、かな-でる,1,1
3,契,ケイ、ちぎ-る,1,1
2.5,奔,ホン,1,0
4,奥,オウ、おく,1,1
2.5,奨,ショウ,1,0
3,奪,ダツ、うば-う,1,1
5,奮,フン、ふる-う,1,1
10,女,ジョ、ニョ、[ニョウ]、おんな、め,3,2
4,奴,ド,1,0
7,好,コウ、この-む、す-く,1,2
3,如,ジョ、ニョ,2,0
2.5,妃,ヒ,1,0
2.5,妄,モウ、ボウ,2,0
2.5,妊,ニン,1,0
2,妖,ヨウ、あや-しい,1,1
4,妙,ミョウ,1,0
2.5,妥,ダ,1,0
3,妨,ボウ、さまた-げる,1,1
