,﻿一,イチ、イツ、ひと、ひと-つ,2,2
2,憬,ケイ,1,0
5,憲,ケン,1,0
4,憶,オク,1,0
2.5,憾,カン,1,0
2.5,懇,コン、ねんご-ろ,1,1
2.5,懐,カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける,1,5
2.5,懲,チョウ、こ-りる、こ-らす、こ-らしめる,1,3
2.5,懸,ケン、[ケ]、か-ける、か-かる,2,2
7,成,セイ、[ジョウ]、な-る、な-す,2,2
5,我,ガ、われ、わ,1,2
4,戒,カイ、いまし-める,1,1
2,戚,セキ,1,0
7,戦,セン、いくさ、たたか-う,1,2
4,戯,ギ、たわむ-れる,1,1
2,戴,タイ,1,0
9,戸,コ、と,1,1
2.5,戻,レイ、もど-す、もど-る,1,2
3,房,ボウ、ふさ,1,1
8,所,ショ、ところ,1,1
4,扇,セン、おうぎ,1,1
2.5,扉,ヒ、とびら,1,1
10,手,シュ、て、[た],1,2
9,才,サイ,1,0
8,打,ダ、う-つ,1,1
4,払,フツ、はら-う,1,1
4,扱,あつか-う,0,1
2.5,扶,フ,1,0
5,批,ヒ,1,0
5,承,ショウ、うけたまわ-る,1,1
6,技,ギ、わざ,1,1
2.5,抄,ショウ,1,0
2.5,把,ハ,1,0
3,抑,ヨク、おさ-える,1,1
8,投,トウ、な-げる,1,1
4,抗,コウ,1,0
7,折,セツ、お-る、おり、お-れる,1,3
4,抜,バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる,1,4
3,択,タク,1,0
2.5,披,ヒ,1,0
4,抱,ホウ、だ-く、いだ-く、かか-える,1,3
4,抵,テイ,1,0
2.5,抹,マツ,1,0
4,押,オウ、お-す、お-さえる,1,2
3,抽,チュウ,1,0
5,担,タン、かつ-ぐ、にな-う,1,2
2,拉,ラ,1,0
4,拍,ハク、[ヒョウ],2,0
2.5,拐,カイ,1,0
2.5,拒,キョ、こば-む,1,1
4,拓,タク,1,0
3,拘,コウ,1,0
2.5,拙,セツ、つたな-い,1,1
6,招,ショウ、まね-く,1,1
5,拝,ハイ、おが-む,1,1
4,拠,キョ、コ,2,0
5,拡,カク,1,0
2.5,括,カツ,1,0
2,拭,ショク、ふ-く、ぬぐ-う,1,2
2,拳,ケン、こぶし,1,1
2,拶,サツ,1,0
2.5,拷,ゴウ,1,0
8,拾,シュウ、ジュウ、ひろ-う,2,1
8,持,ジ、も-つ,1,1
8,指,シ、ゆび、さ-す,1,2
2.5,挑,チョウ、いど-む,1,1
7,挙,キョ、あ-げる、あ-がる,1,2
2.5,挟,キョウ、はさ-む、はさ-まる,1,2
2,挨,アイ,1,0
2,挫,ザ,1,0
4,振,シン、ふ-る、ふ-るう、ふ-れる,1,3
2.5,挿,ソウ、さ-す,1,1
2,捉,ソク、とら-える,1,1
4,捕,ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる,1,5
2,捗,チョク,1,0
2.5,捜,ソウ、さが-す,1,1
5,捨,シャ、す-てる,1,1
2.5,据,す-える、す-わる,0,2
2,捻,ネン,1,0
3,掃,ソウ、は-く,1,1
6,授,ジュ、さず-ける、さず-かる,1,2
3,掌,ショウ,1,0
3,排,ハイ,1,0
4,掘,クツ、ほ-る,1,1
3,掛,か-ける、か-かる、かかり,0,3
6,採,サイ、と-る,1,1
5,探,タン、さぐ-る、さが-す,1,2
6,接,セツ、つ-ぐ,1,1
3,控,コウ、ひか-える,1,1
5,推,スイ、お-す,1,1
3,措,ソ,1,0
3,掲,ケイ、かか-げる,1,1
4,描,ビョウ、えが-く、か-く,1,2
6,提,テイ、さ-げる,1,1
3,揚,ヨウ、あ-げる、あ-がる,1,2
3,換,カン、か-える、か-わる,1,2
4,握,アク、にぎ-る,1,1
5,揮,キ,1,0
4,援,エン,1,0
3,揺,ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる,1,7
6,損,ソン、そこ-なう、そこ-ねる,1,2
4,搬,ハン,1,0
2.5,搭,トウ,1,0
3,携,ケイ、たずさ-える、たずさ-わる,1,2
3,搾,サク、しぼ-る,1,1
3,摂,セツ,1,0
4,摘,テキ、つ-む,1,1
2.5,摩,マ,1,0
2,摯,シ,1,0
4,撃,ゲキ、う-つ,1,1
2.5,撤,テツ,1,0
3,撮,サツ、と-る,1,1
2.5,撲,ボク,1,0
3,擁,ヨウ,1,0
5,操,ソウ、みさお、あやつ-る,1,2
3,擦,サツ、す-る、す-れる,1,2
2.5,擬,ギ,1,0
6,支,シ、ささ-える,1,1
7,改,カイ、あらた-める、あらた-まる,1,2
4,攻,コウ、せ-める,1,1
8,放,ホウ、はな-す、はな-つ、はな-れる、ほう-る,1,4
6,政,セイ、[ショウ]、まつりごと,2,1
6,故,コ、ゆえ,1,1
4,敏,ビン,1,0
6,救,キュウ、すく-う,1,1
7,敗,ハイ、やぶ-れる,1,1
9,教,キョウ、おし-える、おそ-わる,1,2
3,敢,カン,1,0
7,散,サン、ち-る、ち-らす、ち-らかす、ち-らかる,1,4
5,敬,ケイ、うやま-う,1,1
9,数,スウ、[ス]、かず、かぞ-える,2,2
8,整,セイ、ととの-える、ととの-う,1,2
5,敵,テキ、かたき,1,1
4,敷,フ、し-く,1,1
10,文,ブン、モン、ふみ,2,1
2.5,斉,セイ,1,0
2.5,斎,サイ,1,0
2,斑,ハン,1,0
3,斗,ト,1,0
7,料,リョウ,1,0
4,斜,シャ、なな-め,1,1
3,斤,キン,1,0
3,斥,セキ,1,0
2,斬,ザン、き-る,1,1
6,断,ダン、た-つ、ことわ-る,1,2
9,新,シン、あたら-しい、あら-た、にい,1,3
9,方,ホウ、かた,1,1
3,施,シ、セ、ほどこ-す,2,1
8,旅,リョ、たび,1,1
2.5,旋,セン,1,0
8,族,ゾク,1,0
7,旗,キ、はた,1,1
3,既,キ、すで-に,1,1
10,日,ニチ、ジツ、ひ、か,2,2
2,旦,タン、ダン,1,0
6,旧,キュウ,1,0
4,旨,シ、むね,1,1
10,早,ソウ、[サッ]、はや-い、はや-まる、はや-める,2,3
4,旬,ジュン、[シュン],2,0
2,旺,オウ,1,0
2.5,昆,コン,1,0
3,昇,ショウ、のぼ-る,1,1
9,明,メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす,2,9
6,易,エキ、イ、やさ-しい,2,1
8,昔,セキ、[シャク]、むかし,2,1
9,星,セイ、[ショウ]、ほし,2,1
5,映,エイ、うつ-る、うつ-す、は-える,1,3
9,春,シュン、はる,1,1
2,昧,マイ,1,0
7,昨,サク,1,0
8,昭,ショウ,1,0
4,是,ゼ,1,0
9,昼,チュウ、ひる,1,1
9,時,ジ、とき,1,1
5,晩,バン,1,0
4,普,フ,1,0
7,景,ケイ,1,0
9,晴,セイ、は-れる、は-らす,1,2
3,晶,ショウ,1,0
2.5,暁,ギョウ、あかつき,1,1
4,暇,カ、ひま,1,1
8,暑,ショ、あつ-い,1,1
5,暖,ダン、あたた-か、あたた-かい、あたた-まる、あたた-める,1,4
8,暗,アン、くら-い,1,1
4,暦,レキ、こよみ,1,1
3,暫,ザン,1,0
5,暮,ボ、く-れる、く-らす,1,2
6,暴,ボウ、[バク]、あば-く、あば-れる,2,2
4,曇,ドン、くも-る,1,1
2,曖,アイ,1,0
9,曜,ヨウ,1,0
8,曲,キョク、ま-がる、ま-げる,1,2
4,更,コウ、さら、ふ-ける、ふ-かす,1,3
9,書,ショ、か-く,1,1
2.5,曹,ソウ,1,0
2,曽,ソウ、[ゾ],2,0
4,替,タイ、か-える、か-わる,1,2
7,最,サイ、もっと-も,1,1
10,月,ゲツ、ガツ、つき,2,1
8,有,ユウ、ウ、あ-る,2,1
8,服,フク,1,0
2.5,朕,チン,1,0
5,朗,ロウ、ほが-らか,1,1
7,望,ボウ、モウ、のぞ-む,2,1
9,朝,チョウ、あさ,1,1
8,期,キ、[ゴ],2,0
10,木,ボク、モク、き、[こ],2,2
7,未,ミ,1,0
7,末,マツ、バツ、すえ,2,1
10,本,ホン、もと,1,1
7,札,サツ、ふだ,1,1
4,朱,シュ,1,0
2.5,朴,ボク,1,0
5,机,キ、つくえ,1,1
4,朽,キュウ、く-ちる,1,1
2.5,杉,すぎ,0,1
7,材,ザイ,1,0
10,村,ソン、むら,1,1
7,束,ソク、たば,1,1
6,条,ジョウ,1,0
9,来,ライ、く-る、きた-る、きた-す,1,3
4,杯,ハイ、さかずき,1,1
9,東,トウ、ひがし,1,1
7,松,ショウ、まつ,1,1
8,板,ハン、バン、いた,2,1
2.5,析,セキ,1,0
2,枕,まくら,0,1
10,林,リン、はやし,1,1
5,枚,マイ,1,0
7,果,カ、は-たす、は-てる、は-て,1,3
6,枝,シ、えだ,1,1
2.5,枠,わく,0,1
2.5,枢,スウ,1,0
4,枯,コ、か-れる、か-らす,1,2
3,架,カ、か-ける、か-かる,1,2
4,柄,ヘイ、がら、え,1,2
3,某,ボウ,1,0
5,染,セン、そ-める、そ-まる、し-みる、し-み,1,4
4,柔,ジュウ、ニュウ、やわ-らか、やわ-らかい,2,2
8,柱,チュウ、はしら,1,1
2.5,柳,リュウ、やなぎ,1,1
2,柵,サク,1,0
6,査,サ,1,0
2,柿,かき,0,1
7,栃,[とち],0,1
7,栄,エイ、さか-える、は-え、は-える,1,3
2.5,栓,セン,1,0
10,校,コウ,1,0
5,株,かぶ,0,1
2.5,核,カク,1,0
8,根,コン、ね,1,1
6,格,カク、[コウ],2,0
2.5,栽,サイ,1,0
2,桁,けた,0,1
4,桃,トウ、もも,1,1
7,案,アン,1,0
3,桑,ソウ、くわ,1,1
6,桜,オウ、さくら,1,1
2.5,桟,サン,1,0
7,梅,バイ、うめ,1,1
2,梗,コウ,1,0
7,梨,なし,0,1
7,械,カイ,1,0
3,棄,キ,1,0
3,棋,キ,1,0
5,棒,ボウ,1,0
2.5,棚,たな,0,1
2.5,棟,トウ、むね、[むな],1,2
10,森,シン、もり,1,1
2.5,棺,カン,1,0
2,椅,イ,1,0
8,植,ショク、う-える、う-わる,1,2
2,椎,ツイ,1,0
6,検,ケン,1,0
8,業,ギョウ、ゴウ、わざ,2,1
7,極,キョク、ゴク、きわ-める、きわ-まる、きわ-み,2,3
2,楷,カイ,1,0
3,楼,ロウ,1,0
9,楽,ガク、ラク、たの-しい、たの-しむ,2,2
3,概,ガイ,1,0
6,構,コウ、かま-える、かま-う,1,2
8,様,ヨウ、さま,1,1
2.5,槽,ソウ,1,0
7,標,ヒョウ,1,0
5,模,モ、ボ,2,0
5,権,ケン、[ゴン],2,0
8,横,オウ、よこ,1,1
5,樹,ジュ,1,0
8,橋,キョウ、はし,1,1
7,機,キ、はた,1,1
4,欄,ラン,1,0
7,欠,ケツ、か-ける、か-く,1,2
8,次,ジ、シ、つ-ぐ、つぎ,2,2
3,欧,オウ,1,0
5,欲,ヨク、ほっ-する、ほ-しい,1,2
3,欺,ギ、あざむ-く,1,1
2.5,款,カン,1,0
9,歌,カ、うた、うた-う,1,2
4,歓,カン,1,0
9,止,シ、と-まる、と-める,1,2
10,正,セイ、ショウ、ただ-しい、ただ-す、まさ,2,3
6,武,ブ、ム,2,0
9,歩,ホ、ブ、[フ]、ある-く、あゆ-む,3,2
8,歯,シ、は,1,1
4,歳,サイ、[セイ],2,0
6,歴,レキ,1,0
8,死,シ、し-ぬ,1,1
2.5,殉,ジュン,1,0
3,殊,シュ、こと,1,1
7,残,ザン、のこ-る、のこ-す,1,2
4,殖,ショク、ふ-える、ふ-やす,1,2
3,殴,オウ、なぐ-る,1,1
5,段,ダン,1,0
6,殺,サツ、[サイ]、[セツ]、ころ-す,3,1
2.5,殻,カク、から,1,1
4,殿,デン、テン、との、どの,2,2
2,毀,キ,1,0
9,母,ボ、はは,1,1
9,毎,マイ,1,0
6,毒,ドク,1,0
6,比,ヒ、くら-べる,1,1
9,毛,モウ、け,1,1
7,氏,シ、うじ,1,1
7,民,ミン、たみ,1,1
10,気,キ、ケ,2,0
10,水,スイ、みず,1,1
8,氷,ヒョウ、こおり、ひ,1,2
6,永,エイ、なが-い,1,1
2,氾,ハン,1,0
2.5,汁,ジュウ、しる,1,1
7,求,キュウ、もと-める,1,1
2,汎,ハン,1,0
4,汗,カン、あせ,1,1
4,汚,オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い,1,6
2.5,江,コウ、え,1,1
9,池,チ、いけ,1,1
2,汰,タ,1,0
8,決,ケツ、き-める、き-まる,1,2
9,汽,キ,1,0
2,沃,ヨク,1,0
4,沈,チン、しず-む、しず-める,1,2
7,沖,チュウ、おき,1,1
2,沙,サ,1,0
3,没,ボツ,1,0
4,沢,タク、さわ,1,1
6,河,カ、かわ,1,1
2.5,沸,フツ、わ-く、わ-かす,1,2
8,油,ユ、あぶら,1,1
7,治,ジ、チ、おさ-める、おさ-まる、なお-る、なお-す,2,4
4,沼,ショウ、ぬま,1,1
5,沿,エン、そ-う,1,1
4,況,キョウ,1,0
5,泉,セン、いずみ,1,1
4,泊,ハク、と-まる、と-める,1,2
3,泌,ヒツ、ヒ,2,0
7,法,ホウ、[ハッ]、[ホッ],3,0
2.5,泡,ホウ、あわ,1,1
8,波,ハ、なみ,1,1
7,泣,キュウ、な-く,1,1
2.5,泥,デイ、どろ,1,1
8,注,チュウ、そそ-ぐ,1,1
2.5,泰,タイ,1,0
8,泳,エイ、およ-ぐ,1,1
8,洋,ヨウ,1,0
5,洗,セン、あら-う,1,1
2.5,洞,ドウ、ほら,1,1
2.5,津,シン、つ,1,1
2.5,洪,コウ,1,0
9,活,カツ,1,0
5,派,ハ,1,0
8,流,リュウ、[ル]、なが-れる、なが-す,2,2
2.5,浄,ジョウ,1,0
7,浅,セン、あさ-い,1,1
4,浜,ヒン、はま,1,1
2.5,浦,うら,0,1
3,浪,ロウ,1,0
4,浮,フ、う-く、う-かれる、う-かぶ、う-かべる,1,4
7,浴,ヨク、あ-びる、あ-びせる,1,2
9,海,カイ、うみ,1,1
4,浸,シン、ひた-す、ひた-る,1,2
8,消,ショウ、き-える、け-す,1,2
4,涙,ルイ、なみだ,1,1
2.5,涯,ガイ,1,0
6,液,エキ,1,0
2.5,涼,リョウ、すず-しい、すず-む,1,2
2.5,淑,シュク,1,0
4,淡,タン、あわ-い,1,1
2,淫,イン、みだ-ら,1,1
8,深,シン、ふか-い、ふか-まる、ふか-める,1,3
6,混,コン、ま-じる、ま-ざる、ま-ぜる、こ-む,1,4
4,添,テン、そ-える、そ-う,1,2
7,清,セイ、[ショウ]、きよ-い、きよ-まる、きよ-める,2,3
2.5,渇,カツ、かわ-く,1,1
5,済,サイ、す-む、す-ます,1,2
2.5,渉,ショウ,1,0
2.5,渋,ジュウ、しぶ、しぶ-い、しぶ-る,1,3
2.5,渓,ケイ,1,0
6,減,ゲン、へ-る、へ-らす,1,2
4,渡,ト、わた-る、わた-す,1,2
2.5,渦,カ、うず,1,1
8,温,オン、あたた-か、あたた-かい、あたた-まる、あたた-める,1,4
6,測,ソク、はか-る,1,1
8,港,コウ、みなと,1,1
8,湖,コ、みずうみ,1,1
2,湧,ユウ、わ-く,1,1
8,湯,トウ、ゆ,1,1
3,湾,ワン,1,0
3,湿,シツ、しめ-る、しめ-す,1,2
7,満,マン、み-ちる、み-たす,1,2
5,源,ゲン、みなもと,1,1
6,準,ジュン,1,0
2.5,溝,コウ、みぞ,1,1
4,溶,ヨウ、と-ける、と-かす、と-く,1,3
2,溺,デキ、おぼ-れる,1,1
3,滅,メツ、ほろ-びる、ほろ-ぼす,1,2
7,滋,ジ,1,0
3,滑,カツ、コツ、すべ-る、なめ-らか,2,2
3,滝,たき,0,1
3,滞,タイ、とどこお-る,1,1
4,滴,テキ、しずく、したた-る,1,2
7,漁,ギョ、リョウ,2,0
3,漂,ヒョウ、ただよ-う,1,1
2.5,漆,シツ、うるし,1,1
3,漏,ロウ、も-る、も-れる、も-らす,1,3
6,演,エン,1,0
2.5,漠,バク,1,0
8,漢,カン,1,0
4,漫,マン,1,0
2.5,漬,つ-ける、つ-かる,0,2
2.5,漸,ゼン,1,0
6,潔,ケツ、いさぎよ-い,1,1
3,潜,セン、ひそ-む、もぐ-る,1,2
7,潟,かた,0,1
3,潤,ジュン、うるお-う、うるお-す、うる-む,1,3
5,潮,チョウ、しお,1,1
2,潰,カイ、つぶ-す、つぶ-れる,1,2
4,澄,チョウ、す-む、す-ます,1,2
5,激,ゲキ、はげ-しい,1,1
4,濁,ダク、にご-る、にご-す,1,2
4,濃,ノウ、こ-い,1,1
3,濫,ラン,1,0
2.5,濯,タク,1,0
3,瀬,せ,0,1
10,火,カ、ひ、[ほ],1,2
7,灯,トウ、ひ,1,1
5,灰,カイ、はい,1,1
6,災,サイ、わざわ-い,1,1
3,炉,ロ,1,0
3,炊,スイ、た-く,1,1
3,炎,エン、ほのお,1,1
8,炭,タン、すみ,1,1
9,点,テン,1,0
4,為,イ,1,0
4,烈,レツ,1,0
7,無,ム、ブ、な-い,2,1
3,焦,ショウ、こ-げる、こ-がす、こ-がれる、あせ-る,1,4
7,然,ゼン、ネン,2,0
7,焼,ショウ、や-く、や-ける,1,2
2,煎,セン、い-る,1,1
4,煙,エン、けむ-る、けむり、けむ-い,1,3
7,照,ショウ、て-る、て-らす、て-れる,1,3
2.5,煩,ハン、[ボン]、わずら-う、わずら-わす,2,2
4,煮,シャ、に-る、に-える、に-やす,1,3
7,熊,くま,0,1
5,熟,ジュク、う-れる,1,1
7,熱,ネツ、あつ-い,1,1
6,燃,ネン、も-える、も-やす、も-す,1,3
4,燥,ソウ,1,0
4,爆,バク,1,0
2,爪,つめ、[つま],0,2
2.5,爵,シャク,1,0
9,父,フ、ちち,1,1
2,爽,ソウ、さわ-やか,1,1
5,片,ヘン、かた,1,1
6,版,ハン,1,0
2,牙,ガ、[ゲ]、きば,2,1
9,牛,ギュウ、うし,1,1
7,牧,ボク、まき,1,1
8,物,ブツ、モツ、もの,2,1
3,牲,セイ,1,0
7,特,トク,1,0
3,犠,ギ,1,0
10,犬,ケン、いぬ,1,1
6,犯,ハン、おか-す,1,1
6,状,ジョウ,1,0
4,狂,キョウ、くる-う、くる-おしい,1,2
2,狙,ソ、ねら-う,1,1
4,狩,シュ、か-る、か-り,1,2
6,独,ドク、ひと-り,1,1
4,狭,キョウ、せま-い、せば-める、せば-まる,1,3
4,猛,モウ,1,0
3,猟,リョウ,1,0
2.5,猫,ビョウ、ねこ,1,1
2.5,献,ケン、[コン],2,0
2.5,猶,ユウ,1,0
2.5,猿,エン、さる,1,1
3,獄,ゴク,1,0
4,獣,ジュウ、けもの,1,1
4,獲,カク、え-る,1,1
4,玄,ゲン,1,0
6,率,ソツ、リツ、ひき-いる,2,1
10,玉,ギョク、たま,1,1
10,王,オウ,1,0
2,玩,ガン,1,0
4,珍,チン、めずら-しい,1,1
2.5,珠,シュ,1,0
5,班,ハン,1,0
6,現,ゲン、あらわ-れる、あらわ-す,1,2
8,球,キュウ、たま,1,1
9,理,リ,1,0
2.5,琴,キン、こと,1,1
2,瑠,ル,1,0
2,璃,リ,1,0
2,璧,ヘキ,1,0
4,環,カン,1,0
2.5,璽,ジ,1,0
2,瓦,ガ、かわら,1,1
2.5,瓶,ビン,1,0
4,甘,カン、あま-い、あま-える、あま-やかす,1,3
2.5,甚,ジン、はなは-だ、はなは-だしい,1,2
10,生,セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま,2,10
7,産,サン、う-む、う-まれる、うぶ,1,3
9,用,ヨウ、もち-いる,1,1
10,田,デン、た,1,1
8,由,ユ、ユウ、[ユイ]、よし,3,1
3,甲,コウ、カン,2,0
8,申,シン、もう-す,1,1
10,男,ダン、ナン、おとこ,2,1
10,町,チョウ、まち,1,1
9,画,ガ、カク,2,0
8,界,カイ,1,0
2,畏,イ、おそ-れる,1,1
8,畑,はた、はたけ,0,2
3,畔,ハン,1,0
6,留,リュウ、[ル]、と-める、と-まる,2,2
3,畜,チク,1,0
2.5,畝,うね,0,1
6,略,リャク,1,0
9,番,バン,1,0
5,異,イ、こと,1,1
4,畳,ジョウ、たた-む、たたみ,1,2
2,畿,キ,1,0
2.5,疎,ソ、うと-い、うと-む,1,2
5,疑,ギ、うたが-う,1,1
2.5,疫,エキ、[ヤク],2,0
4,疲,ヒ、つか-れる,1,1
3,疾,シツ,1,0
8,病,ビョウ、[ヘイ]、や-む、やまい,2,2
2.5,症,ショウ,1,0
2,痕,コン、あと,1,1
3,痘,トウ,1,0
5,痛,ツウ、いた-い、いた-む、いた-める,1,3
2.5,痢,リ,1,0
2,痩,ソウ、や-せる,1,1
2.5,痴,チ,1,0
2,瘍,ヨウ,1,0
4,療,リョウ,1,0
2.5,癒,ユ、い-える、い-やす,1,2
3,癖,ヘキ、くせ,1,1
8,発,ハツ、ホツ,2,0
8,登,トウ、ト、のぼ-る,2,1
10,白,ハク、ビャク、しろ、[しら]、しろ-い,2,3
10,百,ヒャク,1,0
7,的,テキ、まと,1,1
4,皆,カイ、みな,1,1
5,皇,コウ、オウ,2,0
8,皮,ヒ、かわ,1,1
8,皿,さら,0,1
4,盆,ボン,1,0
6,益,エキ、[ヤク],2,0
4,盗,トウ、ぬす-む,1,1
5,盛,セイ、[ジョウ]、も-る、さか-る、さか-ん,2,3
5,盟,メイ,1,0
4,監,カン,1,0
4,盤,バン,1,0
10,目,モク、[ボク]、め、[ま],2,2
2.5,盲,モウ,1,0
9,直,チョク、ジキ、ただ-ちに、なお-す、なお-る,2,3
8,相,ソウ、ショウ、あい,2,1
4,盾,ジュン、たて,1,1
7,省,セイ、ショウ、かえり-みる、はぶ-く,2,2
2,眉,ビ、[ミ]、まゆ,2,1
5,看,カン,1,0
8,県,ケン,1,0
8,真,シン、ま,1,1
4,眠,ミン、ねむ-る、ねむ-い,1,2
2.5,眺,チョウ、なが-める,1,1
6,眼,ガン、[ゲン]、まなこ,2,1
8,着,チャク、[ジャク]、き-る、き-せる、つ-く、つ-ける,2,4
2.5,睡,スイ,1,0
2.5,督,トク,1,0
2,睦,ボク,1,0
4,瞬,シュン、またた-く,1,1
2,瞭,リョウ,1,0
2,瞳,ドウ、ひとみ,1,1
4,矛,ム、ほこ,1,1
9,矢,シ、や,1,1
9,知,チ、し-る,1,1
8,短,タン、みじか-い,1,1
2.5,矯,キョウ、た-める,1,1
10,石,セキ、[シャク]、[コク]、いし,3,1
5,砂,サ、シャ、すな,2,1
8,研,ケン、と-ぐ,1,1
2.5,砕,サイ、くだ-く、くだ-ける,1,2
4,砲,ホウ,1,0
6,破,ハ、やぶ-る、やぶ-れる,1,2
2.5,硝,ショウ,1,0
2.5,硫,リュウ,1,0
3,硬,コウ、かた-い,1,1
2.5,碁,ゴ,1,0
3,碑,ヒ,1,0
6,確,カク、たし-か、たし-かめる,1,2
5,磁,ジ,1,0
2.5,磨,マ、みが-く,1,1
2.5,礁,ショウ,1,0
3,礎,ソ、いしずえ,1,1
6,示,ジ、シ、しめ-す,2,1
8,礼,レイ、ライ,2,0
9,社,シャ、やしろ,1,1
4,祈,キ、いの-る,1,1
3,祉,シ,1,0
6,祖,ソ,1,0
7,祝,シュク、[シュウ]、いわ-う,2,1
8,神,シン、ジン、かみ、[かん]、[こう],2,3
2.5,祥,ショウ,1,0
7,票,ヒョウ,1,0
8,祭,サイ、まつ-る、まつ-り,1,2
6,禁,キン,1,0
2.5,禅,ゼン,1,0
2.5,禍,カ,1,0
8,福,フク,1,0
4,秀,シュウ、ひい-でる,1,1
5,私,シ、わたくし、わたし,1,2
9,秋,シュウ、あき,1,1
9,科,カ,1,0
8,秒,ビョウ,1,0
5,秘,ヒ、ひ-める,1,1
2.5,租,ソ,1,0
2.5,秩,チツ,1,0
4,称,ショウ,1,0
6,移,イ、うつ-る、うつ-す,1,2
6,程,テイ、ほど,1,1
6,税,ゼイ,1,0
3,稚,チ,1,0
7,種,シュ、たね,1,1
4,稲,トウ、いね、[いな],1,2
2.5,稼,カ、かせ-ぐ,1,1
2,稽,ケイ,1,0
4,稿,コウ,1,0
5,穀,コク,1,0
3,穂,スイ、ほ,1,1
7,積,セキ、つ-む、つ-もる,1,2
3,穏,オン、おだ-やか,1,1
3,穫,カク,1,0
5,穴,ケツ、あな,1,1
8,究,キュウ、きわ-める,1,1
10,空,クウ、そら、あ-く、あ-ける、から,1,4
4,突,トツ、つ-く,1,1
2.5,窃,セツ,1,0
3,窒,チツ,1,0
5,窓,ソウ、まど,1,1
2,窟,クツ,1,0
2.5,窮,キュウ、きわ-める、きわ-まる,1,2
2.5,窯,ヨウ、かま,1,1
10,立,リツ、[リュウ]、た-つ、た-てる,2,2
2.5,竜,リュウ、たつ,1,1
8,章,ショウ,1,0
8,童,ドウ、わらべ,1,1
4,端,タン、はし、は、はた,1,3
7,競,キョウ、ケイ、きそ-う、せ-る,2,2
10,竹,チク、たけ,1,1
7,笑,ショウ、わら-う、え-む,1,2
8,笛,テキ、ふえ,1,1
3,符,フ,1,0
8,第,ダイ,1,0
8,筆,ヒツ、ふで,1,1
8,等,トウ、ひと-しい,1,1
5,筋,キン、すじ,1,1
2.5,筒,トウ、つつ,1,1
9,答,トウ、こた-える、こた-え,1,2
5,策,サク,1,0
4,箇,カ,1,0
2,箋,セン,1,0
9,算,サン,1,0
7,管,カン、くだ,1,1
8,箱,はこ,0,1
2,箸,はし,0,1
7,節,セツ、[セチ]、ふし,2,1
4,範,ハン,1,0
6,築,チク、きず-く,1,1
3,篤,トク,1,0
5,簡,カン,1,0
3,簿,ボ,1,0
3,籍,セキ,1,0
2,籠,ロウ、かご、こ-もる,1,2
9,米,ベイ、マイ、こめ,2,1
6,粉,フン、こ、こな,1,2
3,粋,スイ、いき,1,1
4,粒,リュウ、つぶ,1,1
3,粗,ソ、あら-い,1,1
3,粘,ネン、ねば-る,1,1
2.5,粛,シュク,1,0
2.5,粧,ショウ,1,0
6,精,セイ、[ショウ],2,0
5,糖,トウ,1,0
3,糧,リョウ、[ロウ]、かて,2,1
10,糸,シ、いと,1,1
5,系,ケイ,1,0
2.5,糾,キュウ,1,0
6,紀,キ,1,0
7,約,ヤク,1,0
5,紅,コウ、[ク]、べに、くれない,2,2
4,紋,モン,1,0
5,納,ノウ、[ナッ]、[ナ]、[ナン]、[トウ]、おさ-める、おさ-まる,5,2
5,純,ジュン,1,0
9,紙,シ、かみ,1,1
8,級,キュウ,1,0
3,紛,フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい,1,4
6,素,ソ、ス,2,0
2.5,紡,ボウ、つむ-ぐ,1,1
2.5,索,サク,1,0
4,紫,シ、むらさき,1,1
2.5,累,ルイ,1,0
9,細,サイ、ほそ-い、ほそ-る、こま-か、こま-かい,1,4
2.5,紳,シン,1,0
4,紹,ショウ,1,0
3,紺,コン,1,0
8,終,シュウ、お-わる、お-える,1,2
9,組,ソ、く-む、くみ,1,2
6,経,ケイ、キョウ、へ-る,2,1
7,結,ケツ、むす-ぶ、ゆ-う、ゆ-わえる,1,3
3,絞,コウ、しぼ-る、し-める、し-まる,1,3
4,絡,ラク、から-む、から-まる、から-める,1,3
7,給,キュウ,1,0
6,統,トウ、す-べる,1,1
9,絵,カイ、エ,2,0
6,絶,ゼツ、た-える、た-やす、た-つ,1,3
5,絹,ケン、きぬ,1,1
4,継,ケイ、つ-ぐ,1,1
7,続,ゾク、つづ-く、つづ-ける,1,2
4,維,イ,1,0
3,綱,コウ、つな,1,1
4,網,モウ、あみ,1,1
2,綻,タン、ほころ-びる,1,1
6,綿,メン、わた,1,1
3,緊,キン,1,0
6,総,ソウ,1,0
8,緑,リョク、[ロク]、みどり,2,1
2.5,緒,ショ、[チョ]、お,2,1
9,線,セン,1,0
