#html:true
#separator:Pipe
#columns:Notetype|Deck|Front|Back
#notetype column:1
#deck column:2
Basic (and reversed card)|custom|<div class="hiragana">げつまつ</div><a href="https://jisho.org/search/月末"><div class="kanji">月末</div></a>|<div class="english">end of the month</div>
Basic (and reversed card)|custom|<div class="hiragana">かいあげ</div><a href="https://jisho.org/search/買い上げ"><div class="kanji">買い上げ</div></a>|<div class="english">buying; purchasing</div>
Basic (and reversed card)|custom|<div class="hiragana">ふくげん</div><a href="https://jisho.org/search/復元"><div class="kanji">復元</div></a>|<div class="english">restoration</div>
Basic (and reversed card)|custom|<div class="hiragana">ポイントりれき</div><a href="https://jisho.org/search/ポイント履歴"><div class="kanji">ポイント履歴</div></a>|<div class="english">point history</div>
Basic (and reversed card)|custom|<div class="hiragana">えつらんりれき</div><a href="https://jisho.org/search/閲覧履歴"><div class="kanji">閲覧履歴</div></a>|<div class="english">search history</div>
Basic (and reversed card)|custom|<div class="hiragana">えつらんしつ</div><a href="https://jisho.org/search/閲覧室"><div class="kanji">閲覧室</div></a>|<div class="english">reading room</div>
Basic (and reversed card)|custom|<div class="hiragana">さくじょする</div><a href="https://jisho.org/search/削除する"><div class="kanji">削除する</div></a>|<div class="english">to delete; to erase</div>
Basic (and reversed card)|custom|<div class="hiragana">こうしんする</div><a href="https://jisho.org/search/更新する"><div class="kanji">更新する</div></a>|<div class="english">to renew; to update</div>
Basic (and reversed card)|custom|<div class="hiragana">よみあげ</div><a href="https://jisho.org/search/読み上げ"><div class="kanji">読み上げ</div></a>|<div class="english">reading aloud; recitation</div>
Basic (and reversed card)|custom|<div class="hiragana">ついかする</div><a href="https://jisho.org/search/追加する"><div class="kanji">追加する</div></a>|<div class="english">to add; to append</div>
Basic (and reversed card)|custom|<div class="hiragana">いどうする</div><a href="https://jisho.org/search/移動する"><div class="kanji">移動する</div></a>|<div class="english">to move; to transfer</div>
Basic (and reversed card)|custom|<div class="hiragana">ほごする</div><a href="https://jisho.org/search/保護する"><div class="kanji">保護する</div></a>|<div class="english">to protect; to safeguard</div>
Basic (and reversed card)|custom|<div class="hiragana">けんげん</div><a href="https://jisho.org/search/権限"><div class="kanji">権限</div></a>|<div class="english">power; authority</div>
Basic (and reversed card)|custom|<div class="hiragana">すみだや</div><a href="https://jisho.org/search/隅田屋"><div class="kanji">隅田屋</div></a>|<div class="english">sumida-ya</div>
Basic (and reversed card)|custom|<div class="hiragana">そうしんする</div><a href="https://jisho.org/search/送信する"><div class="kanji">送信する</div></a>|<div class="english">to send; to transmit</div>
Basic (and reversed card)|custom|<div class="hiragana">げんじゅうちゅうい</div><a href="https://jisho.org/search/厳重注意"><div class="kanji">厳重注意</div></a>|<div class="english">stern warning; reprimanding</div>
Basic (and reversed card)|custom|<div class="hiragana">へんきゃくかんりょう</div><a href="https://jisho.org/search/返却完了"><div class="kanji">返却完了</div></a>|<div class="english">return complete</div>
Basic (and reversed card)|custom|<div class="hiragana">かしだしじこく</div><a href="https://jisho.org/search/貸出時刻"><div class="kanji">貸出時刻</div></a>|<div class="english">lending time</div>
Basic (and reversed card)|custom|<div class="hiragana">はいしんせんよう</div><a href="https://jisho.org/search/配信専用"><div class="kanji">配信専用</div></a>|<div class="english">send-only; no reply</div>
Basic (and reversed card)|custom|<div class="hiragana">しさんうんよう</div><a href="https://jisho.org/search/資産運用"><div class="kanji">資産運用</div></a>|<div class="english">asset management</div>
Basic (and reversed card)|custom|<div class="hiragana">つうちょうきにゅう</div><a href="https://jisho.org/search/通帳記入"><div class="kanji">通帳記入</div></a>|<div class="english">passbook entry</div>
Basic (and reversed card)|custom|<div class="hiragana">いちごんいっく</div><a href="https://jisho.org/search/一言一句"><div class="kanji">一言一句</div></a>|<div class="english">every single word and phrase</div>
Basic (and reversed card)|custom|<div class="hiragana">れんたるだい</div><a href="https://jisho.org/search/レンタル代"><div class="kanji">レンタル代</div></a>|<div class="english">rental fee</div>
Basic (and reversed card)|custom|<div class="hiragana">しょうとつちゅうい</div><a href="https://jisho.org/search/衝突注意"><div class="kanji">衝突注意</div></a>|<div class="english">be careful of collisions</div>
