ボーイ	ボーイ ボーイ boy; bellboy; porter; waiter
腐る	腐る くさる to rot; to go bad; to decay; to spoil; to fester; to decompose; to turn sour (e.g. milk); to corrode; to weather; to crumble; to become useless; to blunt; to weaken (from lack of practice); to become depraved; to be degenerate; to be morally bankrupt; to be corrupt; to be depressed; to be dispirited; to feel discouraged; to feel down; indicates scorn or disdain for another's action; to lose a bet; to be drenched; to become sopping wet
象	象 ぞう elephant (Elephantidae spp.)
気に入る	気に入る きにいる to be pleased with; to suit
幾ら	幾ら いくら how much?; how many?; even; even if
退屈	退屈 たいくつ tedium; boredom
伸ばす	伸ばす のばす to grow long (e.g. hair, nails); to lengthen; to extend; to stretch; to reach out; to hold out; to straighten; to smooth out; to spread evenly (dough, cream, etc.); to dilute; to thin out; to postpone; to prolong; to strengthen; to develop; to expand
わざと	わざと わざと on purpose
そのうち	そのうち そのうち before very long; soon; eventually; sooner or later; of the previously mentioned
そっと	そっと そっと softly; gently; quietly; secretly
ヨット	ヨット ヨット yacht (usually only used for a sailing boat with one mast)
掛かる	掛かる かかる to take (a resource, e.g. time or money); to hang; to come into view; to arrive; to come under (a contract, a tax); to start (engines, motors); to attend; to deal with; to handle; to have started to; to be on the verge of; to overlap (e.g. information in a manual); to cover; to (come) at; to be fastened; to be covered (e.g. with dust, a table-cloth, etc.); to be caught in; to get a call; to depend on; to fall for (a trick)
利口	利口 りこう clever; intelligent; wise; bright; sharp; sensible; smart; shrewd; well-behaved (of kids, animals, etc); obedient; good; good (with words)
さっぱり	さっぱり さっぱり feeling refreshed; feeling relieved; neat; trimmed; plain; simple; completely; entirely; not in the least (in sentence with negative verb); not at all; completely ignorant; not doing at all
現す	現す あらわす to represent; to signify; to stand for; to reveal; to show; to display; to express; to make widely known
稼ぐ	稼ぐ かせぐ to earn income; to labor; to labour
取れる	取れる とれる to come off; to be removed; (of pain, a fever, etc.) to disappear; to be caught; to be harvested; to be interpreted (as); to be taken as; (of balance, etc.) to be attained; to be obtainable
戦う	戦う たたかう to make war (on); to wage war (against); to go to war (with); to fight (with); to do battle (against); to compete (against); to struggle (against adversities, etc.); to fight; to contend; to resist
アイスクリーム	アイスクリーム アイスクリーム ice cream; icecream
通じる	通じる つうじる to be open (to traffic); to lead to; to communicate (with); to flow (liquid, current); to pass; to get through to; to be understood; to be comprehended; to be honored; to be good; to be well versed in; to be well-informed; to communicate clandestinely; to keep in touch (e.g. with the enemy); to form a liaison; to be intimate; to spread widely; to disseminate
そっくり	そっくり そっくり all; altogether; entirely; completely; exactly like; just like
額	額 ひたい forehead; brow
ピクニック	ピクニック ピクニック picnic
男の人	男の人 おとこのひと man
やがて	やがて やがて before long; soon; almost; nearly; finally; in the end; eventually
余分	余分 よぶん extra; excess; surplus
急に	急に きゅうに swiftly; rapidly; suddenly; abruptly; immediately
どんなに	どんなに どんなに how; how much
トンネル	トンネル トンネル tunnel; to tunnel (through a potential barrier); letting a grounder go through one's legs
密	密 みつ density; thickness; secrecy; minute; fine; esoteric Buddhism; secret Buddhist teachings
あちこち	あちこち あちこち here and there; all around; everywhere; throughout; all over; to get things in the wrong order (back to front); to become muddled up
羽	羽 はね feather; plume; wing; blade (fan, propeller, etc.)
ふと	ふと ふと suddenly; casually; accidentally; incidentally; unexpectedly; unintentionally
バイオリン	バイオリン バイオリン violin
もしも	もしも もしも if
あんなに	あんなに あんなに to that extent; to that degree
