一層	一層 いっそう much more; still more; all the more; more than ever; single layer (or storey, etc.); rather; sooner; preferably
納得	納得 なっとく consent; assent; agreement; understanding; comprehension; grasp
土産	土産 みやげ present; souvenir
面倒	面倒 めんどう trouble; difficulty; care; attention
実に	実に じつに indeed; really; absolutely; truly; actually; very; quite
冷静	冷静 れいせい calm; composure; coolness; serenity
憲法	憲法 けんぽう constitution
単純	単純 たんじゅん simplicity; simple; uncomplicated
基づく	基づく もとづく to be grounded on; to be based on; to be due to; to originate from
典型	典型 てんけい type; pattern; model; epitome; exemplar; archetypal; representative
賞	賞 しょう prize; award
国境	国境 こっきょう national border; provincial border
不幸	不幸 ふこう unhappiness; sorrow; misfortune; disaster; accident; death
失業	失業 しつぎょう unemployment
礼	礼 れい thanks; gratitude; manners; etiquette; bow; reward; gift; ceremony; ritual
宅	宅 たく house; home; husband
俳優	俳優 はいゆう actor; actress; player; performer
予測	予測 よそく prediction; estimation
前進	前進 ぜんしん advance; drive; progress
彼等	彼等 かれら they (usually male); them
腹	腹 はら abdomen; belly; stomach; womb; one's mind; one's real intentions; one's true motive; courage; nerve; willpower; generosity; magnanimity; feelings; emotions; wide middle part; bulging part; inside; interior; inner part; anti-node; counter for hard roe; counter for containers with bulging middles (pots, vases, etc.)
不利	不利 ふり disadvantage; handicap; unfavorable; unfavourable; drawback
気温	気温 きおん atmospheric temperature
姉妹	姉妹 しまい sisters
経由	経由 けいゆ through; by way of; via; to go via; to go by way of
平等	平等 びょうどう equality; impartiality; evenness
尻	尻 しり buttocks; behind; rump; bottom; undersurface; bottom; last place; end; consequence
支給	支給 しきゅう provision; supply; payment; allowance; grant
苦労	苦労 くろう troubles; hardships
注	注 ちゅう annotation; explanatory note; comment
通行	通行 つうこう passage; passing; common usage
農家	農家 のうか farmer; farm family
一瞬	一瞬 いっしゅん moment; instant
曜日	曜日 ようび day of the week
単に	単に たんに simply; merely; only; solely
大気	大気 たいき atmosphere
刀	刀 かたな (single-edged) sword; katana; dagger; knife; scalpel
筋肉	筋肉 きんにく muscle; sinew
観察	観察 かんさつ observation; survey
必ずしも	必ずしも かならずしも not always; not necessarily; not all; not entirely
役	役 やく use; service; role; post; position; scoring combination (e.g. in mahjong, card games, etc.); hand
国語	国語 こくご national language; Japanese language (often as a school subject in Japan); native Japanese words (as opposed to loanwords)
泉	泉 いずみ spring; fountain
観客	観客 かんきゃく audience; spectator; spectators
演説	演説 えんぜつ speech; address
