作法	さほう	manners, etiquette, propriety	N3	d35be279-bca1-463a-8ade-065f9b0e088e
様々	さまざま	varied, various	N3	0d8824f7-a855-49f7-b3fe-0462c3facfe6
冷ます	さます	to cool, to let cool	N3	d5523891-7a3d-40ee-a1b0-24a290abc1e9
覚ます	さます	to awaken	N3	80db94a4-5f8c-465c-9cc6-34b198508712
冷める	さめる	to become cool, to wear off	N3	577b08d1-37b8-48f9-b84a-4c4f35945b82
覚める	さめる	to wake, to wake up	N3	4ea81fcf-da4a-4a50-8200-979606f25381
左右	さゆう	left and right; influence	N3	76b5575d-7535-41ee-89d6-1fbcdd42cbf2
皿	さら	plate, dish	N3	18fdbf27-ae87-4211-80ba-55fa2c4db97b
更に	さらに	furthermore, moreover	N3	5d13e983-5a43-413f-9619-2656483a6c81
去る	さる	to leave, to go away	N3	def3f951-ed3f-4a7b-92e3-9c5b9a8d9f11
猿	さる	monkey	N3	6e306f4e-24e9-4500-ac38-a4fc1e7d4898
騒ぎ	さわぎ	uproar, disturbance	N3	697dcc6d-9a74-4109-beff-611eba69de96
参加	さんか	participation	N3	46c0fa1e-2aff-4211-bcfb-54632caf76a2
参考	さんこう	reference, consultation	N3	0377a2e8-9ee2-4375-aa17-10e642809a82
賛成	さんせい	approval, agreement	N3	73b5528c-7c92-4119-be65-be2346544510
酸性	さんせい	acidity	N3	286519f2-e031-4d31-b771-1f87fedc03fa
酸素	さんそ	oxygen	N3	5e311e22-4bad-4324-a759-731357bb73d9
氏	し	family name, lineage	N3	29154d62-d483-4ca0-8840-2f1a34dac65a
詩	し	poem; poetry	N3	2fc548f6-73e2-4efc-b44f-db5cd0c4b8eb
幸せ	しあわせ	happiness, blessing	N3	0447789c-9c49-4e2f-80d1-f36b3a9225c6
ジーンズ	ジーンズ	jeans	N3	c8d7a846-2252-4f68-9f31-da17ea098ae0
ジェット機	ジェットき	jet plane	N3	c5d41584-6355-432d-9cf9-6cfd2134283f
四角	しかく	square	N3	622b4615-a317-43ef-94ec-db75fa91fd2d
直に	じかに	immediately, readily, directly	N3	64a5192f-3366-4a05-9218-fe8363fce584
