一	0000209400
七	0002916700
三	0002622000
上	0003478400
下	0000609800
中	0004721700
九	0001360800
二	0005418000
五	0002081300
人	0003678400
休	0001375100
先	0004040100
入	0005444700
八	0005677700
六	0007380200
円	0000436000
出	0003214000
力	0007192800
十	0003160000
千	0004026200
口	0002117900
右	0000308000
名	0006666900
四	0002715400
土	0005127900
夕	0003945200
大	0004474400
天	0005033300
女	0003308600
子	0002696200
字	0002843100
学	0000923700
小	0003331300
山	0002633600
川	0004033800
左	0002452500
年	0005481100
手	0003028800
文	0006181200
日	0005435400
早	0004205400
月	0001884000
木	0006470400
本	0006505700
村	0004380300
林	0007198600
校	0002236900
森	0003641700
正	0003825900
気	0001184900
水	0003723800
火	0000622700
犬	0001892600
玉	0001584900
王	0000504100
生	0003833400
田	0005083100
男	0004638500
町	0004781400
白	0005607600
百	0005920000
目	0006740200
石	0003948300
空	0001680900
立	0007104000
竹	0004696700
糸	0002735800
耳	0002848100
花	0000645600
草	0004223500
虫	0004730900
見	0001896200
貝	0000838600
赤	0003955600
足	0004335700
車	0002968300
金	0001604700
雨	0000315200
青	0003865600
音	0000596200
万	0006573600
丸	0001151600
交	0002152000
京	0001488200
今	0002417400
会	0000756800
体	0004428700
何	0000641500
作	0002561800
元	0001982700
兄	0001750400
光	0002156600
公	0002127700
内	0005373100
冬	0005146200
刀	0005143800
分	0006175200
切	0003984200
前	0004135400
北	0006467400
午	0002089200
半	0005726200
南	0005406400
原	0001998000
友	0006843100
古	0002024400
台	0004508400
合	0002341000
同	0005254500
回	0000760200
図	0003720000
国	0002372600
園	0000462400
地	0004656900
場	0003516000
声	0003854400
売	0005586300
夏	0000672800
外	0000841200
多	0004396400
夜	0006776700
太	0004424200
妹	0006532300
姉	0002755000
室	0002926100
家	0000675300
寺	0002844800
少	0003346200
岩	0001155100
工	0002125500
市	0002721600
帰	0001215100
広	0002143400
店	0005052100
弓	0001366800
引	0000273800
弟	0004942000
弱	0003018400
強	0001515000
当	0005149200
形	0001754900
後	0002095500
心	0003574900
思	0002765700
戸	0002022000
才	0002487100
教	0001522000
数	0003782200
新	0003650300
方	0006332600
明	0006677500
星	0003876200
春	0003229900
昼	0004743400
時	0002876900
晴	0003900400
曜	0006983200
書	0003288700
朝	0004807600
来	0007020500
東	0005164200
楽	0000930400
歌	0000713800
止	0002704800
歩	0006296200
母	0006317900
毎	0006531100
毛	0006720100
池	0004667800
汽	0001199300
活	0000964700
海	0000784700
点	0005055400
父	0006017800
牛	0001417100
理	0007083200
用	0006927500
画	0000736300
番	0005780000
直	0004845900
矢	0002723600
知	0004669200
社	0002966000
秋	0003110100
科	0000669700
答	0005207600
算	0002665600
米	0006227400
紙	0002782200
細	0002514600
組	0004176400
絵	0000803500
線	0004103600
羽	0000310600
考	0002170900
聞	0006190200
肉	0005428500
自	0002850500
船	0004075000
色	0003535500
茶	0004711300
行	0002172500
西	0003852100
親	0003668300
角	0000883400
言	0001990500
計	0001769700
記	0001223100
話	0007407700
語	0002110200
読	0005324000
谷	0002369900
買	0005597500
走	0004212700
近	0001599300
通	0004887800
週	0003129900
道	0005273900
遠	0000471000
里	0007076200
野	0006783100
長	0004783800
門	0006766200
間	0001083500
雪	0004001600
雲	0000369800
電	0005093700
頭	0005231700
顔	0001169700
風	0006088400
食	0003539700
首	0003057200
馬	0005542700
高	0002250300
魚	0001450900
鳥	0004804200
鳴	0006693400
麦	0005647900
黄	0002264900
黒	0002380300
丁	0004774700
世	0003821500
両	0007152100
主	0003042300
乗	0003496200
予	0006906300
事	0002865400
仕	0002707700
他	0004393400
代	0004504500
住	0003170900
使	0002750000
係	0001761200
倍	0005589500
全	0004130700
具	0001673700
写	0002964600
列	0007285200
助	0003317200
勉	0006289600
動	0005267200
勝	0003404400
化	0000619800
区	0001652300
医	0000127200
去	0001421000
反	0005720100
取	0003053500
受	0003079100
号	0002339700
向	0002159800
君	0001727500
味	0006599900
命	0006674800
和	0007398500
品	0005973600
員	0000284300
商	0003391000
問	0006771700
坂	0005740700
央	0000507900
始	0002756200
委	0000132000
守	0003048600
安	0000097800
定	0004943200
実	0002945100
客	0001350000
宮	0001396600
宿	0003198000
寒	0001071200
対	0004432500
局	0001575400
屋	0000553800
岸	0001157500
島	0005179700
州	0003098100
帳	0004795100
平	0006192900
幸	0002193000
度	0005138700
庫	0002058500
庭	0004959700
式	0002902200
役	0006798300
待	0004439400
急	0001389600
息	0004342100
悪	0000041600
悲	0005832600
想	0004263600
意	0000162700
感	0001095900
所	0003281600
打	0004407200
投	0005156500
拾	0003107600
持	0002874500
指	0002768800
放	0006354700
整	0003929800
旅	0007144500
族	0004356800
昔	0003960600
昭	0003370800
暑	0003296400
暗	0000108500
曲	0001572400
有	0006845600
服	0006103700
期	0001251400
板	0005743200
柱	0004745000
根	0002427900
植	0003546100
業	0001564200
様	0006970200
横	0000530700
橋	0001542900
次	0002846100
歯	0002807300
死	0002730300
氷	0005928600
決	0001864300
油	0006827000
波	0005525900
注	0004740400
泳	0000384100
洋	0006939400
流	0007120200
消	0003379400
深	0003633000
温	0000602800
港	0002276300
湖	0002064300
湯	0005201100
漢	0001100400
炭	0004593900
物	0006144500
球	0001403200
由	0006825700
申	0003582900
界	0000794700
畑	0005671000
病	0005957400
発	0005684700
登	0005205500
皮	0005794600
皿	0002617000
相	0004217500
県	0001908900
真	0003620800
着	0004715800
短	0004609300
研	0001910000
礼	0007239800
神	0003606600
祭	0002513000
福	0006113400
秒	0005956700
究	0001384700
章	0003399700
童	0005271900
笛	0005001900
第	0004511400
筆	0005907000
等	0005209000
箱	0005661000
級	0001394500
終	0003122200
緑	0007195400
練	0007307400
羊	0006931200
美	0005867600
習	0003127100
者	0002970800
育	0000195700
苦	0001657600
荷	0000682300
落	0007035000
葉	0006955900
薬	0006805000
血	0001858600
表	0005932900
詩	0002816800
調	0004833200
談	0004654000
豆	0005160200
負	0006038900
起	0001224900
路	0007325000
身	0003589000
転	0005064100
軽	0001794700
農	0005503400
返	0006258500
追	0004877800
送	0004229500
速	0004344700
進	0003638300
